Announced/Allocated,Obligated,State,Date
$7224524.70,$7224524.70,AK,31-Aug-24
$3996222.03,$3996222.03,CO,31-Aug-24
$1717975.02,$1717975.02,IA,31-Aug-24
$1092092.80,$1092092.80,OR,31-Aug-24
$205476345.38,$205476345.38,FL,31-Aug-24
$1406551.90,$1406551.90,TN,31-Aug-24
$35283.69,$35283.69,ME,31-Aug-24
$14653.09,$14653.09,ME,31-Aug-24
$21439696.45,$21439696.45,GA,31-Aug-24
$154978.63,$154978.63,WY,31-Aug-24
$3706097.28,$3706097.28,NH,31-Aug-24
$5495288.64,$5495288.64,MO,31-Aug-24
$2399014.98,$2399014.98,TN,31-Aug-24
$46676.36,$46676.36,CA,31-Aug-24
$275907.87,$275907.87,VT,31-Aug-24
$1011499.90,$1011499.90,MT,31-Aug-24
$29313.99,$29313.99,CA,31-Aug-24
$2251384.35,$2251384.35,KS,31-Aug-24
$10198.28,$10198.28,AR,31-Aug-24
$38367135.92,$38367135.92,IL,31-Aug-24
$4361464.42,$4361464.42,CA,31-Aug-24
$27737034.67,$27737034.67,TN,31-Aug-24
$1738990.11,$1738990.11,UT,31-Aug-24
$6459602.08,$6459602.08,RI,31-Aug-24
$30381812.16,$30381812.16,ME,31-Aug-24
$2510738.84,$2510738.84,NY,31-Aug-24
$9976570.81,$9976570.81,WV,31-Aug-24
$127124832.47,$127124832.47,MI,31-Aug-24
$10916854.63,$10916854.63,CA,31-Aug-24
$5833257.60,$5833257.60,WA,31-Aug-24
$236328.71,$236328.71,ND,31-Aug-24
$987383.09,$987383.09,NH,31-Aug-24
$1843243.72,$1843243.72,VT,31-Aug-24
$684941.01,$684941.01,AK,31-Aug-24
$14455178.83,$14455178.83,ME,31-Aug-24
$1931529.80,$1931529.80,RI,31-Aug-24
$11527283.60,$11527283.60,RI,31-Aug-24
$142709.71,$142709.71,AK,31-Aug-24
$6840935.17,$6840935.17,OR,31-Aug-24
$2107338.98,$2107338.98,CA,31-Aug-24
$453475.96,$453475.96,VT,31-Aug-24
$177344.59,$177344.59,NH,31-Aug-24
$6047.32,$6047.32,CA,31-Aug-24
$1700.84,$1700.84,CA,31-Aug-24
$1828493.99,$1828493.99,KS,31-Aug-24
$2800872.62,$2800872.62,WA,31-Aug-24
$26474771.23,$26474771.23,OK,31-Aug-24
$9259580.25,$9259580.25,OH,31-Aug-24
$6564039.30,$6564039.30,NE,31-Aug-24
$7436671.82,$7436671.82,IA,31-Aug-24
$4693509.63,$4693509.63,MA,31-Aug-24
$190115361.97,$190115361.97,TX,31-Aug-24
$13773855.43,$13773855.43,KY,31-Aug-24
$9644295.62,$9644295.62,WV,31-Aug-24
$7420161.96,$7420161.96,IA,31-Aug-24
$745059.32,$745059.32,ME,31-Aug-24
$287359.38,$287359.38,NE,31-Aug-24
$1997775.76,$1997775.76,WV,31-Aug-24
$16219336.74,$16219336.74,AR,31-Aug-24
$472691.95,$472691.95,ID,31-Aug-24
$8990227.71,$8990227.71,MS,31-Aug-24
$2531858.72,$2531858.72,OK,31-Aug-24
$109270.42,$109270.42,TN,31-Aug-24
$154518.98,$154518.98,HI,31-Aug-24
$5957304.53,$5957304.53,FL,31-Aug-24
$105780177.12,$105780177.12,NM,31-Aug-24
$51997633.59,$51997633.59,IA,31-Aug-24
$10140533.77,$10140533.77,MN,31-Aug-24
$140105166.11,$140105166.11,TX,31-Aug-24
$39887.40,$39887.40,NH,31-Aug-24
$39280.96,$39280.96,KS,31-Aug-24
$523153.99,$523153.99,MT,31-Aug-24
$1400.64,$1400.64,OK,31-Aug-24
$3660861.23,$3660861.23,MO,31-Aug-24
$5595208.32,$5595208.32,KY,31-Aug-24
$348758.38,$348758.38,PR,31-Aug-24
$10492573.80,$10492573.80,FL,31-Aug-24
$1633658.81,$1633658.81,SD,31-Aug-24
$0.00,$0.00,NE,31-Aug-24
$0.00,$0.00,NM,31-Aug-24
$1227776.34,$1227776.34,VT,31-Aug-24
